token@lam1954m	@lam1954m	00:00:06.521	00:00:06.552	/
token@lam1954m	@lam1954m	00:00:07.400	00:00:07.645	на
token@lam1954m	@lam1954m	00:00:07.645	00:00:08.011	тему
token@lam1954m	@lam1954m	00:00:08.011	00:00:08.377	которая
token@lam1954m	@lam1954m	00:00:08.377	00:00:08.798	вызывает
token@lam1954m	@lam1954m	00:00:08.798	00:00:09.164	очень
token@lam1954m	@lam1954m	00:00:09.164	00:00:09.517	большой
token@lam1954m	@lam1954m	00:00:09.517	00:00:10.178	интерес
token@lam1954m	@lam1954m	00:00:10.178	00:00:10.477	у
token@lam1954m	@lam1954m	00:00:10.477	00:00:10.689	/
token@lam1954m	@lam1954m	00:00:10.689	00:00:10.842	ээ
token@lam1954m	@lam1954m	00:00:10.842	00:00:10.904	/
token@lam1954m	@lam1954m	00:00:10.904	00:00:11.581	аудитории
token@lam1954m	@lam1954m	00:00:11.581	00:00:11.780	/
token@lam1954m	@lam1954m	00:00:11.780	00:00:12.102	всех
token@lam1954m	@lam1954m	00:00:12.102	00:00:12.561	возрастов
token@lam1954m	@lam1954m	00:00:12.561	00:00:12.726	и
token@lam1954m	@lam1954m	00:00:12.726	00:00:13.172	составов
token@lam1954m	@lam1954m	00:00:13.172	00:00:13.206	/
token@lam1954m	@lam1954m	00:00:13.206	00:00:13.237	/
token@lam1954m	@lam1954m	00:00:13.730	00:00:14.014	от
token@lam1954m	@lam1954m	00:00:14.014	00:00:14.578	молодых
token@lam1954m	@lam1954m	00:00:14.578	00:00:14.932	до
token@lam1954m	@lam1954m	00:00:14.932	00:00:15.169	людей
token@lam1954m	@lam1954m	00:00:15.169	00:00:15.840	постарше
token@lam1954m	@lam1954m	00:00:15.840	00:00:15.928	и
token@lam1954m	@lam1954m	00:00:15.928	00:00:16.142	даже
token@lam1954m	@lam1954m	00:00:16.142	00:00:16.302	до
token@lam1954m	@lam1954m	00:00:16.302	00:00:16.584	совсем
token@lam1954m	@lam1954m	00:00:16.584	00:00:17.165	умудренных
token@lam1954m	@lam1954m	00:00:17.165	00:00:17.188	/
token@lam1954m	@lam1954m	00:00:17.188	00:00:17.221	/
token@lam1954m	@lam1954m	00:00:17.730	00:00:17.956	э
token@lam1954m	@lam1954m	00:00:17.956	00:00:18.034	/
token@lam1954m	@lam1954m	00:00:18.034	00:00:18.725	масонство
token@lam1954m	@lam1954m	00:00:18.725	00:00:19.177	тема
token@lam1954m	@lam1954m	00:00:19.177	00:00:19.390	/
token@lam1954m	@lam1954m	00:00:19.390	00:00:19.798	ээ
token@lam1954m	@lam1954m	00:00:19.798	00:00:19.914	/
token@lam1954m	@lam1954m	00:00:19.914	00:00:20.292	нек...
token@lam1954m	@lam1954m	00:00:20.292	00:00:20.768	особая
token@lam1954m	@lam1954m	00:00:20.768	00:00:20.802	/
token@lam1954m	@lam1954m	00:00:20.802	00:00:20.820	/
